epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.9395,1.27671,3.29491,1.42428,0.00259,0.58333,0.04434,0.01453,2.17747,5.33882,2.65282,6e-05,6e-05,0.09406
2,67.4258,1.21793,2.82603,1.46328,0.00167,0.25,0.00757,0.00284,3.40535,4.96587,3.50159,0.00012571,0.00012571,0.0871257
3,98.2719,1.20608,2.5141,1.45827,0.00192,0.33333,0.00455,0.00158,3.24093,4.66116,3.29745,0.0001868,0.0001868,0.0801868
4,126.377,1.18973,2.37731,1.43436,0.00249,0.58333,0.19477,0.09411,2.90646,4.33869,3.05485,0.00024327,0.00024327,0.0732433
5,155.655,1.13394,2.34344,1.344,0.00259,0.58333,0.03484,0.0063,2.95491,4.07508,3.22652,0.00029512,0.00029512,0.0662951
6,186.042,1.08213,2.13597,1.32283,0.00122,0.33333,0.00173,0.00052,3.12029,4.19864,3.37303,0.00034235,0.00034235,0.0593424
7,217.393,1.13829,1.98653,1.38374,0.0017,0.41667,0.00378,0.00093,2.87,3.95424,3.07648,0.00038496,0.00038496,0.052385
8,244.417,1.1639,1.94384,1.40765,0.0017,0.41667,0.00327,0.00115,2.78655,4.01879,2.90107,0.00042295,0.00042295,0.045423
9,271.916,1.12286,1.71886,1.38061,0.01866,0.58333,0.12652,0.05898,1.47148,3.61815,1.7612,0.00045632,0.00045632,0.0384563
10,298.594,0.97171,1.61583,1.24503,0.68082,0.16667,0.13545,0.06373,1.41531,3.56286,1.60405,0.00048507,0.00048507,0.0314851
11,324.525,1.04596,1.74731,1.25626,0.00278,0.58333,0.15778,0.05686,1.21432,3.45551,1.41818,0.0005092,0.0005092,0.0245092
12,349.733,0.96714,1.46752,1.22984,0.7093,0.16667,0.16286,0.09967,1.12264,3.12343,1.29729,0.00052871,0.00052871,0.0175287
13,374.783,0.97861,1.46785,1.21448,0.70973,0.16667,0.21909,0.13753,1.11306,3.0166,1.33218,0.0005436,0.0005436,0.0105436
14,399.778,0.87688,1.35131,1.18197,0.47886,0.31066,0.38983,0.27998,1.00555,2.73358,1.28002,0.00055387,0.00055387,0.00355387
15,424.477,0.9409,1.38054,1.16724,0.73208,0.31884,0.58235,0.39459,0.9812,2.38415,1.21151,0.000538,0.000538,0.000538
16,449.681,0.85435,1.3344,1.17053,0.45852,0.6859,0.66139,0.43977,0.98802,1.92721,1.15255,0.000505,0.000505,0.000505
17,476.865,1.02434,1.48395,1.28063,0.64696,0.75,0.74001,0.45144,0.96864,1.76716,1.10282,0.000472,0.000472,0.000472
18,503.275,0.91084,1.37752,1.17441,0.94883,0.72517,0.85116,0.66196,0.80174,1.3717,1.00486,0.000439,0.000439,0.000439
19,529.392,0.85191,1.32208,1.15308,0.95202,0.73773,0.85206,0.66221,0.80099,1.33601,1.00339,0.000406,0.000406,0.000406
20,554.998,0.92757,1.35275,1.17239,0.98459,0.75,0.82657,0.66192,0.80465,1.36555,0.99563,0.000373,0.000373,0.000373
21,586.384,1.06372,1.59147,1.37434,0.91394,0.75,0.82846,0.69468,0.70863,1.35288,0.92367,0.00034,0.00034,0.00034
22,617.64,0.98255,1.53138,1.30012,0.92336,0.75,0.89153,0.81127,0.57786,1.31986,0.7996,0.000307,0.000307,0.000307
23,645.538,0.9531,1.45507,1.25351,0.90505,0.91667,0.90157,0.76371,0.56332,1.35335,0.78631,0.000274,0.000274,0.000274
24,671.262,0.91252,1.52122,1.21926,0.79611,0.73719,0.83229,0.64715,0.63218,1.5349,0.83584,0.000241,0.000241,0.000241
25,696.053,0.90225,1.32572,1.20638,0.67007,0.75,0.82692,0.67498,0.62377,1.56585,0.81536,0.000208,0.000208,0.000208
26,720.748,0.88016,1.44177,1.15883,0.75041,0.75,0.79353,0.63668,0.58844,1.49862,0.77156,0.000175,0.000175,0.000175
27,745.421,0.91074,1.32047,1.21125,0.8405,0.75,0.84011,0.71277,0.53847,1.32892,0.74883,0.000142,0.000142,0.000142
28,770.92,0.80217,1.30114,1.17116,0.83411,0.91667,0.91917,0.78218,0.49997,1.21024,0.72265,0.000109,0.000109,0.000109
29,797.066,0.70457,1.16378,1.05538,0.86423,0.90763,0.91917,0.80706,0.4919,1.16628,0.71801,7.6e-05,7.6e-05,7.6e-05
30,823.349,0.83678,1.18024,1.10875,0.83485,1,0.95929,0.85715,0.48838,1.10584,0.71708,4.3e-05,4.3e-05,4.3e-05
